,Name,PV,PV/pass,Passes,Position,Team,games,rPV/pass,Rating
0,Heung-Min Son,0.578949794085961,0.007328478406151405,79.0,Wing,South Korea,3,0.67,6.570396430390547
1,Takashi Usami,0.2933891055393865,0.006985454893794917,42.0,Midfield,Japan,2,0.65,4.718176483392305
2,Artur Jędrzejczyk,0.3691996216732554,0.006966030597608592,53.0,Back,Poland,1,0.65,4.51765257549128
3,Tomoaki Makino,0.5856613026827856,0.006731739111296387,87.0,Back,Japan,1,0.65,4.51765257549128
4,Viktor Claesson,0.9854251184674762,0.006749487112790932,146.0,Wing,Sweden,5,0.65,3.745399352136643
5,Ola Toivonen,0.6880289246592487,0.00674538161430636,102.0,Forward,Sweden,5,0.65,3.745399352136643
6,Hotaru Yamaguchi,0.6596074823058047,0.006662701841472774,99.0,Midfield,Japan,3,0.64,3.003960113993714
7,Sebastian Larsson,1.0793396686431806,0.006463111788282519,167.0,Midfield,Sweden,4,0.64,3.003960113993714
8,Yuto Nagatomo,1.227477138988801,0.006426581879522519,191.0,Back,Japan,4,0.64,2.8702379145038597
9,Hee-Chan Hwang,0.23631025492367244,0.006950301615402131,34.0,Wing,South Korea,3,0.64,2.3329008130096907
10,Rafał Kurzawa,0.23242384041609876,0.006835995306355846,34.0,Wing,Poland,1,0.64,2.3329008130096907
11,Marcus Berg,0.5639751412584711,0.006557850479749664,86.0,Forward,Sweden,5,0.64,2.3329008130096907
12,Shin-Wook Kim,0.10299190112243038,0.007922453932494645,13.0,Forward,South Korea,1,0.64,2.3329008130096907
13,Gabriel Enrique Gómez Girón,0.7331657522129519,0.006266373950538051,117.0,Midfield,Panama,3,0.63,1.2897437445951232
14,Mathew Leckie,0.5211773550570559,0.0062792452416512755,83.0,Midfield,Australia,3,0.63,1.2897437445951232
15,Eric Dier,1.228899234835345,0.00633453213832652,194.0,Midfield,England,5,0.63,1.2897437445951232
16,João Filipe Iria Santos Moutinho,0.5422558202536905,0.006305300235508029,86.0,Midfield,Portugal,3,0.63,1.2897437445951232
